iter	Passed	Remaining
193	6097	19046
194	6129	19015
195	6162	18990
196	6192	18955
197	6223	18921
198	6250	18876
199	6281	18845
200	6312	18813
201	6345	18783
202	6377	18756
203	6408	18722
204	6436	18682
205	6470	18656
206	6498	18617
207	6528	18581
208	6557	18542
209	6593	18523
210	6622	18487
211	6650	18445
212	6680	18409
213	6713	18384
214	6752	18374
215	6782	18336
216	6812	18302
217	6845	18274
218	6877	18247
219	6903	18200
220	6931	18158
221	6961	18124
222	6991	18088
223	7021	18054
224	7051	18020
225	7076	17974
226	7107	17940
227	7136	17903
228	7164	17865
229	7195	17832
230	7227	17802
231	7257	17768
232	7290	17740
233	7317	17699
234	7347	17664
235	7381	17640
236	7410	17603
237	7439	17567
238	7473	17542
239	7504	17509
240	7533	17474
241	7567	17449
242	7610	17443
243	7639	17408
244	7668	17371
245	7697	17335
246	7724	17294
247	7753	17257
248	7785	17228
249	7818	17199
250	7845	17159
251	7877	17130
252	7909	17100
253	7937	17063
254	7970	17034
255	7994	16989
256	8020	16946
257	8052	16917
258	8081	16880
259	8125	16875
260	8161	16854
261	8188	16814
262	8218	16781
263	8246	16742
264	8277	16710
265	8307	16676
266	8336	16640
267	8366	16607
268	8400	16583
269	8428	16544
270	8458	16510
271	8488	16476
272	8515	16438
273	8546	16407
274	8578	16377
275	8606	16339
276	8637	16308
277	8666	16273
278	8697	16242
279	8724	16202
280	8755	16171
281	8783	16133
282	8818	16110
283	8846	16073
284	8871	16031
285	8898	15993
286	8926	15955
287	8955	15920
288	8984	15886
289	9010	15845
290	9036	15806
291	9064	15770
292	9095	15737
293	9125	15705
294	9154	15670
295	9183	15636
296	9209	15596
297	9240	15566
298	9268	15530
299	9296	15493
300	9325	15460
301	9356	15429
302	9387	15397
303	9415	15361
304	9442	15325
305	9471	15290
306	9503	15261
307	9530	15224
308	9563	15196
309	9591	15160
310	9624	15133
311	9653	15098
312	9683	15066
313	9716	15038
314	9746	15006
315	9779	14978
316	9811	14950
317	9846	14924
318	9880	14897
319	9905	14857
320	9935	14825
321	9964	14791
322	9993	14758
323	10021	14722
324	10052	14691
325	10080	14657
326	10108	14621
327	10134	14583
328	10164	14551
329	10194	14519
330	10222	14483
331	10253	14453
332	10290	14430
333	10329	14411
334	10360	14381
335	10394	14353
336	10423	14320
337	10463	14302
338	10494	14271
339	10533	14250
340	10557	14210
341	10586	14176
342	10613	14140
343	10642	14108
344	10667	14068
345	10698	14037
346	10727	14004
347	10755	13970
348	10785	13937
349	10818	13909
350	10852	13882
351	10880	13848
352	10911	13817
353	10945	13790
354	10978	13762
355	11012	13735
356	11042	13702
357	11073	13671
358	11098	13633
359	11128	13601
360	11151	13561
361	11178	13524
362	11202	13485
363	11231	13452
364	11259	13419
365	11292	13391
366	11318	13354
367	11349	13323
368	11378	13289
369	11405	13255
370	11436	13224
371	11468	13194
372	11497	13161
373	11530	13134
374	11564	13106
375	11594	13075
376	11631	13050
377	11661	13019
378	11690	12986
379	11724	12958
380	11750	12922
381	11776	12886
382	11807	12856
383	11844	12831
384	11873	12798
385	11902	12765
386	11932	12733
387	11961	12701
388	11985	12663
389	12017	12634
390	12050	12604
391	12082	12575
392	12114	12545
393	12143	12513
394	12172	12480
395	12198	12445
396	12227	12412
397	12254	12377
398	12286	12347
399	12316	12316
400	12347	12286
401	12375	12252
